Name,Id,WashingtoniansAffected,Year,DaysToIdentifyBreach,DaysElapsedBeforeNotification
Sebastian Kanczugowski,15249,994,2023,0,250
"Clearwater Credit Union (""Clearwater"")",15250,518,2023,15,16
Transamerica Life Insurance Company,15308,54773,2023,8,36
"Orrick, Herrington & Sutcliffe LLP",15310,6376,2023,6,109
LEM Products Direct LLC,15317,640,2023,559,30
"Milliman Solutions, LLC d/b/a Milliman Intelliscript",15351,17235,2023,10,39
"Fidelity National Information Services, Inc. / Sound Community Bank",15357,13795,2023,13,34
1st Source Bank,15367,777,2023,0,49
"Hot Topic, Inc.",15371,2348,2024,0,171
"MMA Operations, Inc.",15398,1378,2023,,190
"Pension Benefit Information, LLC  ",15402,18856,2023,4,40
Idea 247 Inc. (d/b/a Idea Financial),15404,671,2023,28,51
Quorum Federal Credit Union,15406,802,2023,23,27
Athene Annuity and Life Company and its affiliates,15408,3814,2023,22,30
"Creedmoor Sports, Inc.",15409,518,2023,559,45
"Fidelity & Guaranty Life Insurance Company (""F&G"")",15418,12229,2023,22,30
Aurora National Life Assurance Company,15419,3670,2023,5,48
"Togetherwork Holdings, LLC",15424,866,2024,,11
Jackson National Life Insurance Company,15425,22709,2024,22,34
"Corebridge Financial, Inc.",15428,101027,2024,4,53
"HRM Enterprises, Inc.",15437,1414,2024,561,48
"Lumico Life Insurance Company, Elips Life Insurance Company",15438,6209,2024,21,38
"Teachers Insurance and Annuity Association of America (""TIAA",15439,56331,2024,11,48
"TIAA Kaspick, LLC (""Kaspick"")",15450,1235,2024,11,49
Clear Spring Life and Annuity Company,15451,1125,2024,71,169
"Cupertino Electric, Inc.",15452,884,2024,10,34
Hartford Life and Accident Insurance Company,15453,17839,2024,5,62
The Global Atlantic Financial Group LLC,15460,62433,2024,9,51
Progressive Casualty Insurance Company,15463,8325,2024,,74
TIAA-CREF Life Insurance Company,15464,904,2024,11,54
"Etz Hayim Holdings, S.P.C. d/b/a Lazarus Natural",15465,1940,2024,131,24
MidFirst Bank,15466,6097,2024,17,52
"TD Ameritrade, Inc. and Charles Schwab & Co., Inc.",15467,1662,2024,2,70
"American National Group, LLC and its insurance subsidiaries ",15480,24274,2024,3,70
Ernst & Young LLP,15481,1129,2024,4,70
"Associated Materials, LLC",15488,660,2024,17,89
MassMutual Ascend Life Insurance Company,15489,18675,2024,2,71
Hub International Limited,15492,31755,2024,36,206
"Fidelity National Information Services, Inc. / Umpqua Bank",15493,145274,2024,,51
"EP Global Production Solutions, LLC",15524,2758,2024,,42
"Regal Securities, Inc",15528,600,2024,3,194
Unum Group,15529,4186,2024,4,78
Sun Life,15535,4097,2024,24,62
R&B Corporation of Virginia d/b/a Credit Control Corporation,15536,1564,2024,5,169
"PurFoods, LLC",15559,9094,2024,37,184
Fidelity Life Association,15568,3479,2024,8,69
"Sovos Compliance, LLC",15569,11103,2024,16,72
"Chevron Federal Credit Union (""CFCU"")",15574,947,2024,1,85
New York Life Insurance Company,15576,1622,2024,38,49
The Estée Lauder Companies Inc.,15578,150535,2024,0,51
Vivendi Ticketing US LLC d/b/a See Tickets,15584,16450,2024,77,112
Delaware Life Insurance Company,15585,4518,2024,22,78
"NTT DATA Americas, Inc. on behalf of PBI Research Services",15598,6228,2024,2,85
North Star Tax & Accounting,15599,1979,2024,,22
F21 OpcO LLC (d/b/a Forever 21),15600,9855,2024,74,162
"Milliman, Inc.",15644,2879,2024,2,75
UnitedHealthcare (Devine Joshua),15653,18418,2024,28,245
"Maximus, Inc.",15654,70847,2024,3,87
Data Media Associates,15677,657,2024,,113
Huntington Bank (Alogent),15678,4000,2024,1,83
Financial Institution Service Corporation,15681,2140,2024,1,114
Connexin Software Inc.,15712,29600,2023,,292
Topgolf Callaway Brands Corp.,15726,14048,2024,0,30
"Caesars Entertainment, Inc.",15738,784234,2024,0,48
Lennar Corporation,15741,594,2024,0,82
"Coffee Meets Bagel, Inc.",15746,7455,2024,0,37
MGM Resorts International,15761,811740,2024,0,27
Honeywell International Inc.,15765,2194,2024,7,102
"Alaska USA Credit Union (Kaye-Smith Enterprises, Inc.)",15777,2262,2023,-350,53
"Kitsap Bank (Kaye-Smith Enterprises, Inc)",15778,10154,2023,15,53
"Spokane Teachers Credit Union (Kaye-Smith Enterprises, Inc.)",15780,1517,2023,-503,53
"Washington Federal Bank, dba WaFd Bank (Kaye-Smith Enterprise, Inc.)",15790,36119,2023,15,53
"Advance America, Cash Advance Centers of Washington, LLC",15792,26092,2024,0,211
"Radius Global Solutions, LLC",15793,759,2024,3,106
Phh Mortgage Corporation,15810,3145,2024,5,115
BHI Energy I Specialty Services LLC,15811,1150,2024,30,111
The Estée Lauder Companies Inc.,15825,1453,2024,1,140
Revival Animal Health,15826,1929,2024,560,134
"Greenpoint Technologies, Inc.  ",15834,532,2024,7,33
Progressive Leasing,15835,2582,2024,2,43
"Flagstar Bank, NA",15837,2412,2024,68,63
New York Life,15838,519,2024,83,63
"Resort Data Processing, Inc.",15860,2319,2024,385,67
"Francesca's Acquisition, LLC",15867,805,2024,19,237
"Aristocrat Technologies, Inc. and its affiliates",15868,978,2024,3,111
Holiday by Atria,15898,656,2024,17,91
"Nature’s Path Foods, Inc. (“Nature’s Path”)",15900,516,2024,76,221
Mt. Hood Meadows Oreg LLC,15901,2482,2024,16,237
"Stanley Steemer International, Inc. ",15932,1258,2024,24,214
"Systems East, Inc.",15940,2753,2024,0,83
"Mas Tec, Inc.",15946,675,2024,11,166
International Paper Company,15948,1057,2024,108,63
"Welltok, Inc. (Regence Blue Shield, Regence Blue Shield of Idaho, Regence Blue Cross/Blue Shield (Oregon & Utah))",15950,1606,2024,57,115
"AutoZone, Inc.",15958,2509,2024,8,170
"Graphic Packaging International (Welltok, Inc.)",15968,554,2024,27,149
"Zeroed-In Technologies, LLC",15993,61088,2024,1,111
"Midwest Gaming & Entertainment, LLC dba Rivers Casino Des Plaines",16004,1946,2024,82,32
Pan-American Life Insurance Group,16005,616,2024,,186
Washington State Employees Credit Union  (WSECU),16006,1216,2024,30,4
Nationstar Mortgage LLC (dba Mr. Cooper),16056,408616,2024,1,45
"Gunster, Yoakley & Steward, PA",16060,3014,2024,130,372
Dentegra Insurance Company,16062,1156,2024,5,196
Americold Logistics LLC,16072,3434,2024,0,226
Delaware Life Insurance Company,16073,7252,2024,71,285
Comcast Cable Communications LLC,16074,3100608,2024,9,54
Orchard LLC,16076,514,2024,,16
"Kwik Trip, Inc.",16085,1191,2024,39,33
"Snagajob.com, Inc.",16110,2220,2024,1,41
"LoanCare, LLC",16112,44465,2024,0,33
"Medical Eye Services, Inc. (Costco Wholesale Corporation)",16114,35746,2024,87,84
NSC Technologies,16115,1072,2024,7,148
"Medical Eye Services, Inc. (Blue Shield of California)",16126,2962,2024,87,86
Oak View Group,16228,1211,2024,17,52
Academy Mortgage Corporation,16247,17083,2024,,29
McCarthy & Holthus LLP,16274,700,2024,6,101
TGI Direct,16275,3428,2024,0,234
"Planet Home Lending, LLC",16278,7194,2024,0,69
LCS Financial Services,16285,1823,2024,1,209
"HopSkipDrive, Inc.",16326,14757,2024,12,45
"First Financial Sercurity, Inc.",16327,2328,2024,,78
"ESO Solutions, Inc.",16336,810,2024,,83
Fidelity National Information Services/Emerald Financial Services,16338,15776,2024,,84
Keenan & Associates,16345,5873,2024,6,152
"Lineage, Inc (Delta Dental of California)",16348,844,2024,201,55
Highmark Blue Cross Blue Shield (Welltok),16394,504,2024,150,73
"United Healthcare Services, Inc. (Welltok)",16398,9938,2024,115,91
Elixir RX Solutions (Welltok),16399,544,2024,,74
"Henry Schein, Inc.",16441,588,2024,17,104
Bankers Life and Casualty Company,16442,865,2024,1,62
Infosys McCamish Systems LLC,16443,857,2024,1,95
Sage Home Loans Corp. f/k/a Lenox Financial Mortgage Corp.,16444,611,2024,14,45
"U-Haul International, Inc.",16445,16460,2024,138,79
UNITE HERE,16446,76574,2024,0,126
"loanDepot.com, LLC",16447,502513,2024,0,43
Houser LLP,16488,7791,2024,2,295
Trinity Universal Insurance Company,16489,31701,2024,4,213
"Baesman Group, Inc.",16498,1658,2024,2,274
"Humana, Inc. (Welltok, Inc.)",16506,33193,2024,115,84
"Reyes Holdings, LLC (Welltok, Inc.)",16507,543,2024,-190,84
"Nations Direct Mortgage, LLC",16511,1862,2024,0,68
"Alliance Solutions Group, LLC (dba TalentLaunch)",16515,569,2024,1,275
"Aetna ACE (Welltok, Inc.)",16516,2653,2024,129,145
Assurance IQ,16518,982,2024,630,73
"Gerson Lehrman Group, Inc. ",16529,3734,2024,0,121
Fidelity Investments Life Insurance Company & Empire Fidelit,16564,768,2024,5,119
"V12 Software, Inc. ",16567,11151,2024,1,31
"U.S.Vision, Inc.",16568,8308,2024,22,1043
"Dial Temporary Help Service, Inc. dba Employers Overload",16569,528,2024,0,53
Axiom Construction and Consulting,16570,1127,2024,5,142
GardaWorld Cash U.S.,16572,684,2024,17,127
The Northwestern Mutual Life Insurance Company,16573,1025,2024,99,24
AT&T Inc.,16688,378471,2024,0,15
"CVS, the Blue Cross Blue Shield Federal Employee Program (Welltok, Inc.)",16689,4479,2024,57,265
"Premera Blue Cross (Welltok, Inc.)",16714,2384,2024,143,182
Greylock McKinnon & Associates,16715,1323,2024,,322
On Q Financial,16716,18757,2024,7,34
Centennial Bank,16717,3044,2024,1,378
"Pacific Guardian Life Insurance Company, Limited",16718,1950,2024,11,212
Kirkland & Ellis LLP on behalf of the Fed. Way Sch. Dist. ,16826,35274,2024,4,271
Fox Specialties Inc. Trading As Encompass Elements,16827,1601,2024,0,154
"Valley Veterinary Clinic, LLC",16828,661,2024,29,50
"Berkshire Production Supply, LLC d/b/a Berkshire eSupply",16830,712,2024,,29
OE Federal Credit Union,16831,3268,2024,70,185
Electric Mirror LLC,16833,1313,2024,0,35
"Panda Restaurant Group, Inc. (PRG)",16837,6916,2024,3,51
Ace Hardware Corporation,16838,613,2024,2,155
Wescom Central Credit Union,16839,557,2024,212,335
Green Diamond Resource Company,16840,9532,2024,1,297
"Designed Receivable Solutions, Inc.",16841,1131,2024,4,95
Recology Inc. (“Recology”),16896,3540,2024,1,47
Prudential Insurance Company of America,16933,872,2024,1,78
"Hot Topic, Inc.",16950,3655,2024,0,131
"TRC Staffing Services, Inc. d/b/a TRC Talent Solutions",16954,2792,2024,18,42
"JPMorgan Chase Bank, N.A.",16994,4513,2024,914,52
"Assist System, LLC and Medjet Assistance, LLC",16996,9142,2024,0,231
"My Daily Choice, Inc.",17047,1593,2024,0,112
"Trionfo Solutions, LLC ",17048,849,2024,2,168
Kirkland & Ellis LLP,17050,810,2024,4,378
New York Life Investment Management LLC,17055,772,2024,43,66
Bodyartforms LLC,17068,558,2024,143,62
"Messner Reeves on behalf of Chipotle Mexican Grill, Inc.",17085,678,2024,19,293
"Greenpoint Technologies, Inc.  ",17086,1017,2024,7,230
"Panera, LLC",17118,744,2024,43,82
Atria Wealth Solutions,17120,779,2024,20,184
Christie’s Inc.,17157,985,2024,1,29
Levi Strauss & Co.,17179,640,2024,0,8
"Advance Stores Company, Incorporated (Advanced Auto Parts)",17218,21791,2024,39,48
First American Financial Corporation,17222,706,2024,0,175
Ticketmaster LLC,17223,500,2024,51,30
Rairdon Automotive Group,17229,2301,2024,0,64
WebTPA,17230,38420,2024,297,132
Evolve Bank & Trust,17249,275716,2024,110,40
"Berry, Dunn, McNeil & Parker, LLC",17251,1888,2024,2,224
The Neiman Marcus Group LLC ,17252,11049,2024,40,31
Scout Energy Management LLC,17254,1186,2024,75,81
"Kemper Sports Management, LLC",17529,1929,2025,0,161
